category,level,question_text,options,correct_answer_index,explanation
Mathematics,Easy,What is the sum of 47 and 58?,["95", "105", "115", "100"],1,47 + 58 = 105.
Mathematics,Easy,What is the product of 12 and 8?,["96", "84", "108", "92"],0,12 * 8 = 96.
Mathematics,Easy,What is the value of 144 divided by 12?,["10", "11", "12", "14"],2,144 / 12 = 12.
Mathematics,Easy,What is the result of subtracting 67 from 100?,["33", "23", "43", "37"],0,100 - 67 = 33.
Mathematics,Easy,What is the only even prime number?,["0", "1", "2", "4"],2,2 is the only even prime number because every other even number is divisible by 2.
Mathematics,Easy,What is the smallest positive prime number?,["0", "1", "2", "3"],2,2 is the smallest prime number; 1 is neither prime nor composite.
Mathematics,Easy,What is the value of any non-zero number raised to the power of 0?,["0", "1", "The number itself", "Undefined"],1,By exponent rules a^0 = 1 for any non-zero number a.
Mathematics,Easy,What is the square of 15?,["225", "125", "250", "625"],0,15 * 15 = 225.
Mathematics,Easy,What is the square root of 81?,["7", "8", "9", "11"],2,9 * 9 = 81 so the principal square root of 81 is 9.
Mathematics,Easy,Which mathematical property states that a + b = b + a?,["Associative Property", "Commutative Property", "Distributive Property", "Identity Property"],1,The commutative property of addition states that the order of addends does not affect the sum.
Mathematics,Easy,What is 1/2 expressed as a percentage?,["25%", "50%", "75%", "20%"],1,1/2 = 0.5 = 50%.
Mathematics,Easy,What is 25% of 200?,["25", "50", "75", "100"],1,0.25 * 200 = 50.
Mathematics,Easy,What is the sum of 1/4 and 2/4 in simplest form?,["3/4", "3/8", "1/2", "1"],0,1/4 + 2/4 = 3/4.
Mathematics,Easy,What is 0.75 written as a simplified fraction?,["3/4", "7/5", "75/10", "1/4"],0,0.75 = 75/100 = 3/4.
Mathematics,Easy,What is the reciprocal of 5?,["-5", "1/5", "0.5", "5/1"],1,The reciprocal of a number x is 1/x so for 5 it is 1/5.
Mathematics,Easy,What is 10% of 350?,["3.5", "35", "70", "350"],1,0.10 * 350 = 35.
Mathematics,Easy,Which fraction is equivalent to 2/3?,["4/6", "3/2", "4/9", "6/8"],0,Multiplying numerator and denominator of 2/3 by 2 gives 4/6.
Mathematics,Easy,What is 3/5 minus 1/5?,["2/5", "4/5", "2/0", "1/5"],0,3/5 - 1/5 = 2/5.
Mathematics,Easy,What is 0.2 multiplied by 0.3?,["0.6", "0.06", "0.006", "6.0"],1,0.2 * 0.3 = 0.06.
Mathematics,Easy,If an item costs $80 and has a 10% discount what is the discount amount?,["$8", "$10", "$16", "$80"],0,10% of $80 is $8.
Mathematics,Easy,How many sides does a hexagon have?,["5", "6", "7", "8"],1,A hexagon is a polygon with 6 sides.
Mathematics,Easy,What is the sum of the interior angles of any triangle?,["90°", "180°", "270°", "360°"],1,The sum of the three interior angles in any Euclidean triangle is always 180°.
Mathematics,Easy,How many sides does an octagon have?,["6", "7", "8", "10"],2,An octagon has 8 sides.
Mathematics,Easy,What is a triangle with all three sides equal called?,["Isosceles", "Equilateral", "Scalene", "Right-angled"],1,An equilateral triangle has all three sides of equal length and all interior angles equal to 60°.
Mathematics,Easy,What is a triangle with two equal sides called?,["Isosceles", "Equilateral", "Scalene", "Obtuse"],0,An isosceles triangle has at least two sides of equal length.
Mathematics,Easy,What is an angle measuring exactly 90 degrees called?,["Acute angle", "Right angle", "Obtuse angle", "Straight angle"],1,A 90-degree angle forms a perpendicular intersection and is called a right angle.
Mathematics,Easy,What is an angle measuring less than 90 degrees called?,["Acute angle", "Right angle", "Obtuse angle", "Reflex angle"],0,An acute angle has a measure greater than 0° and less than 90°.
Mathematics,Easy,What is the formula for the perimeter of a rectangle with length l and width w?,["l * w", "2 * (l + w)", "2 * l * w", "l + w"],1,The perimeter is the total distance around the boundary: P = 2l + 2w = 2(l + w).
Mathematics,Easy,What is the formula for the area of a rectangle with length l and width w?,["l + w", "2 * (l + w)", "l * w", "l² * w²"],2,The area of a rectangle is the product of its length and width: A = l * w.
Mathematics,Easy,What is the distance around the outer boundary of a circle called?,["Radius", "Diameter", "Circumference", "Chord"],2,The circumference is the perimeter or boundary distance around a circle (C = 2 * pi * r).
Mathematics,Easy,What is the line segment from the center of a circle to any point on its boundary called?,["Diameter", "Radius", "Chord", "Arc"],1,The radius is half of the diameter and extends from the center to the edge.
Mathematics,Easy,What is the line segment connecting two points on a circle and passing through its center called?,["Radius", "Diameter", "Tangent", "Secant"],1,The diameter is the longest chord in a circle equal to twice the radius.
Mathematics,Easy,What is the sum of the interior angles of a quadrilateral?,["180°", "360°", "540°", "720°"],1,The interior angles of any four-sided polygon sum to (4 - 2) * 180° = 360°.
